date,price,qty,trnvr,cum_trnvr
2025-08-01 09:15:00 AM,9.82,108354,1064036.28,1064036.28
2025-08-01 09:15:00 AM,9.81,0,0.0,1064036.28
2025-08-01 09:15:08 AM,9.8,0,0.0,1064036.28
2025-08-01 09:15:08 AM,9.82,0,0.0,1064036.28
2025-08-01 09:15:09 AM,9.8,129458,1268688.4000000001,2332724.68
2025-08-01 09:15:11 AM,9.8,6973,68335.40000000001,2401060.08
2025-08-01 09:15:17 AM,9.79,0,0.0,2401060.08
2025-08-01 09:15:20 AM,9.82,23280,228609.6,2629669.68
2025-08-01 09:15:28 AM,9.83,0,0.0,2629669.68
2025-08-01 09:15:29 AM,9.83,9630,94662.9,2724332.58
2025-08-01 09:15:31 AM,9.83,1000,9830.0,2734162.58
2025-08-01 09:15:37 AM,9.84,0,0.0,2734162.58
2025-08-01 09:15:38 AM,9.84,17280,170035.2,2904197.7800000003
2025-08-01 09:15:41 AM,9.85,0,0.0,2904197.7800000003
2025-08-01 09:15:46 AM,9.85,252,2482.2,2906679.9800000004
2025-08-01 09:15:50 AM,9.83,0,0.0,2906679.9800000004
2025-08-01 09:15:53 AM,9.85,0,0.0,2906679.9800000004
2025-08-01 09:15:54 AM,9.85,55124,542971.4,3449651.3800000004
2025-08-01 09:15:56 AM,9.85,20,197.0,3449848.3800000004
2025-08-01 09:15:59 AM,9.83,0,0.0,3449848.3800000004
2025-08-01 09:16:01 AM,9.84,0,0.0,3449848.3800000004
2025-08-01 09:16:02 AM,9.84,133966,1318225.44,4768073.82
2025-08-01 09:16:04 AM,9.81,2000,19620.0,4787693.82
2025-08-01 09:16:07 AM,9.84,0,0.0,4787693.82
2025-08-01 09:16:10 AM,9.8,1610,15778.000000000002,4803471.82
2025-08-01 09:16:12 AM,9.83,500,4915.0,4808386.82
2025-08-01 09:16:15 AM,9.79,0,0.0,4808386.82
2025-08-01 09:16:18 AM,9.8,28680,281064.0,5089450.82
2025-08-01 09:16:20 AM,9.79,250,2447.5,5091898.32
2025-08-01 09:16:27 AM,9.79,178,1742.62,5093640.94
2025-08-01 09:16:28 AM,9.79,300,2936.9999999999995,5096577.94
2025-08-01 09:16:35 AM,9.8,1780,17444.0,5114021.94
2025-08-01 09:16:36 AM,9.8,45151,442479.80000000005,5556501.74
2025-08-01 09:16:43 AM,9.8,20774,203585.2,5760086.94
2025-08-01 09:16:52 AM,9.8,5811,56947.8,5817034.74
2025-08-01 09:17:00 AM,9.82,16079,157895.78,5974930.5200000005
2025-08-01 09:17:02 AM,9.84,0,0.0,5974930.5200000005
2025-08-01 09:17:08 AM,9.84,7296,71792.64,6046723.16
2025-08-01 09:17:09 AM,9.84,50,492.0,6047215.16
2025-08-01 09:17:11 AM,9.81,0,0.0,6047215.16
2025-08-01 09:17:13 AM,9.83,0,0.0,6047215.16
2025-08-01 09:17:16 AM,9.83,15819,155500.77,6202715.93
2025-08-01 09:17:22 AM,9.84,0,0.0,6202715.93
2025-08-01 09:17:24 AM,9.82,1507,14798.74,6217514.67
2025-08-01 09:17:28 AM,9.79,0,0.0,6217514.67
2025-08-01 09:17:33 AM,9.83,81704,803150.32,7020664.99
2025-08-01 09:17:34 AM,9.83,51,501.33,7021166.32
2025-08-01 09:17:41 AM,9.83,2159,21222.97,7042389.29
2025-08-01 09:17:45 AM,9.82,0,0.0,7042389.29
