symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580724250PE,2025-08-01 09:15:00,30.3,32.7,26.1,27.6,681525,600150
NSE:NIFTY2580724250PE,2025-08-01 09:16:00,27.65,30.3,27.65,29.8,283650,600150
NSE:NIFTY2580724250PE,2025-08-01 09:17:00,30.1,30.3,28,28.8,182250,600150
NSE:NIFTY2580724250PE,2025-08-01 09:18:00,28.75,29.25,27.05,27.4,150900,774675
NSE:NIFTY2580724250PE,2025-08-01 09:19:00,27.4,27.75,26.2,26.65,141225,774675
NSE:NIFTY2580724250PE,2025-08-01 09:20:00,26.8,27.95,26.55,26.6,166875,774675
NSE:NIFTY2580724250PE,2025-08-01 09:21:00,26.6,27.3,26.2,26.4,318225,900150
NSE:NIFTY2580724250PE,2025-08-01 09:22:00,26.6,27.2,26,26.05,185100,900150
NSE:NIFTY2580724250PE,2025-08-01 09:23:00,26.05,26.95,25.65,26.75,110700,900150
NSE:NIFTY2580724250PE,2025-08-01 09:24:00,26.65,28.15,26.65,27.55,159675,1025250
NSE:NIFTY2580724250PE,2025-08-01 09:25:00,27.6,30.9,27.55,30.7,210075,1025250
NSE:NIFTY2580724250PE,2025-08-01 09:26:00,30.85,32.75,30.5,31.95,318750,1025250
NSE:NIFTY2580724250PE,2025-08-01 09:27:00,31.75,32.45,31.2,32.45,189450,1026975
NSE:NIFTY2580724250PE,2025-08-01 09:28:00,32.05,33.9,31.7,32.5,237150,1026975
NSE:NIFTY2580724250PE,2025-08-01 09:29:00,32.45,32.45,31.1,31.1,147000,1026975
NSE:NIFTY2580724250PE,2025-08-01 09:30:00,31.15,33.45,31.15,31.85,232125,1112475
NSE:NIFTY2580724250PE,2025-08-01 09:31:00,32.15,33.2,29.8,29.8,238950,1112475
NSE:NIFTY2580724250PE,2025-08-01 09:32:00,30,31.25,29.65,30.1,130200,1112475
NSE:NIFTY2580724250PE,2025-08-01 09:33:00,30.2,30.75,24.8,25.8,402150,1144875
NSE:NIFTY2580724250PE,2025-08-01 09:34:00,25.75,27.8,25.6,27.75,182325,1144875
NSE:NIFTY2580724250PE,2025-08-01 09:35:00,27.7,27.7,26.65,26.85,104475,1144875
NSE:NIFTY2580724250PE,2025-08-01 09:36:00,26.9,26.9,25.75,26.3,94650,1159575
NSE:NIFTY2580724250PE,2025-08-01 09:37:00,26.6,28.55,26.6,27.6,205950,1159575
NSE:NIFTY2580724250PE,2025-08-01 09:38:00,27.65,28.5,27.35,27.8,105525,1159575
NSE:NIFTY2580724250PE,2025-08-01 09:39:00,27.7,29.2,27.7,28.9,80925,1161000
NSE:NIFTY2580724250PE,2025-08-01 09:40:00,28.9,29.35,27.45,27.45,132075,1161000
NSE:NIFTY2580724250PE,2025-08-01 09:41:00,27.45,27.7,26.8,27.3,95025,1161000
NSE:NIFTY2580724250PE,2025-08-01 09:42:00,27.3,28,26.6,26.6,103950,1190175
NSE:NIFTY2580724250PE,2025-08-01 09:43:00,26.6,26.8,25.9,26.4,112725,1190175
NSE:NIFTY2580724250PE,2025-08-01 09:44:00,26.5,27.4,26.4,27.1,46275,1190175
NSE:NIFTY2580724250PE,2025-08-01 09:45:00,27.05,28,26.8,26.8,74925,1168425
NSE:NIFTY2580724250PE,2025-08-01 09:46:00,27,28.15,26.9,27.8,65775,1168425
NSE:NIFTY2580724250PE,2025-08-01 09:47:00,27.7,28.85,27.4,27.55,111825,1168425
NSE:NIFTY2580724250PE,2025-08-01 09:48:00,27.8,27.85,26.35,26.95,61050,1152600
NSE:NIFTY2580724250PE,2025-08-01 09:49:00,26.95,27.1,26.1,27.05,42600,1152600
NSE:NIFTY2580724250PE,2025-08-01 09:50:00,26.95,27.15,26.4,26.7,31725,1152600
NSE:NIFTY2580724250PE,2025-08-01 09:51:00,26.5,26.6,25.6,26.4,74025,1166775
NSE:NIFTY2580724250PE,2025-08-01 09:52:00,26.4,26.6,26.1,26.25,26700,1166775
NSE:NIFTY2580724250PE,2025-08-01 09:53:00,26.25,27.55,26,27.15,58800,1166775
NSE:NIFTY2580724250PE,2025-08-01 09:54:00,27.35,28.85,27.35,28.25,75750,1160025
NSE:NIFTY2580724250PE,2025-08-01 09:55:00,28.2,29.5,27.75,28.65,149175,1160025
NSE:NIFTY2580724250PE,2025-08-01 09:56:00,28.7,29.55,28,29.4,75450,1160025
NSE:NIFTY2580724250PE,2025-08-01 09:57:00,29.3,29.8,28.85,29.75,104250,1191000
NSE:NIFTY2580724250PE,2025-08-01 09:58:00,29.7,30.25,29.05,29.8,109425,1191000
NSE:NIFTY2580724250PE,2025-08-01 09:59:00,29.6,30.2,28.1,28.9,113175,1191000
NSE:NIFTY2580724250PE,2025-08-01 10:00:00,28.7,29.9,28.7,28.8,89700,1208025
NSE:NIFTY2580724250PE,2025-08-01 10:01:00,28.8,28.95,27.2,27.2,120375,1208025
NSE:NIFTY2580724250PE,2025-08-01 10:02:00,27.15,28,26.8,27.5,110550,1208025
NSE:NIFTY2580724250PE,2025-08-01 10:03:00,27.55,27.75,25.15,25.75,227700,1264500
NSE:NIFTY2580724250PE,2025-08-01 10:04:00,25.85,26.4,25.7,25.75,164775,1264500
NSE:NIFTY2580724250PE,2025-08-01 10:05:00,25.9,26.7,25.7,26.15,63075,1264500
NSE:NIFTY2580724250PE,2025-08-01 10:06:00,26.2,26.45,25.5,25.6,89925,1275075
NSE:NIFTY2580724250PE,2025-08-01 10:07:00,25.5,26.1,25.25,26.1,53775,1275075
NSE:NIFTY2580724250PE,2025-08-01 10:08:00,26.15,26.15,25.5,25.8,41025,1275075
NSE:NIFTY2580724250PE,2025-08-01 10:09:00,25.75,25.75,24.65,24.85,79650,1253025
NSE:NIFTY2580724250PE,2025-08-01 10:10:00,25,25.4,23.75,23.85,109800,1253025
NSE:NIFTY2580724250PE,2025-08-01 10:11:00,23.9,24.35,23.45,23.95,90750,1253025
NSE:NIFTY2580724250PE,2025-08-01 10:12:00,24.05,24.15,22.85,23,123600,1262625
NSE:NIFTY2580724250PE,2025-08-01 10:13:00,23.1,23.75,22.65,22.85,95325,1262625
NSE:NIFTY2580724250PE,2025-08-01 10:14:00,22.75,23.3,22.7,22.9,78750,1262625
NSE:NIFTY2580724250PE,2025-08-01 10:15:00,23,23.2,22.35,22.7,84075,1296750
NSE:NIFTY2580724250PE,2025-08-01 10:16:00,22.6,23.25,22.45,23.15,85950,1296750
NSE:NIFTY2580724250PE,2025-08-01 10:17:00,23,23.45,22.75,23.2,83625,1296750
NSE:NIFTY2580724250PE,2025-08-01 10:18:00,23.3,23.5,22.4,22.4,82275,1274775
NSE:NIFTY2580724250PE,2025-08-01 10:19:00,22.5,22.5,21.75,21.95,124275,1274775
NSE:NIFTY2580724250PE,2025-08-01 10:20:00,21.85,22.45,20.7,21,187275,1274775
NSE:NIFTY2580724250PE,2025-08-01 10:21:00,21.1,21.25,20.05,20.05,122550,1299075
NSE:NIFTY2580724250PE,2025-08-01 10:22:00,20,20.7,19.9,20.45,138300,1299075
NSE:NIFTY2580724250PE,2025-08-01 10:23:00,20.55,21.35,20.45,21.2,113400,1299075
NSE:NIFTY2580724250PE,2025-08-01 10:24:00,21.1,21.6,20.95,21.4,48975,1358400
NSE:NIFTY2580724250PE,2025-08-01 10:25:00,21.45,21.6,20.6,20.65,87000,1358400
NSE:NIFTY2580724250PE,2025-08-01 10:26:00,20.75,21.25,20.75,20.85,61500,1358400
NSE:NIFTY2580724250PE,2025-08-01 10:27:00,21,21,20.55,20.6,144525,1376550
NSE:NIFTY2580724250PE,2025-08-01 10:28:00,20.6,21.45,20.6,21.05,215025,1376550
NSE:NIFTY2580724250PE,2025-08-01 10:29:00,21.1,21.35,20.75,20.85,61500,1376550
NSE:NIFTY2580724250PE,2025-08-01 10:30:00,20.95,21.45,20.45,21.45,48075,1302525
NSE:NIFTY2580724250PE,2025-08-01 10:31:00,21.25,21.4,20.3,20.5,49575,1302525
NSE:NIFTY2580724250PE,2025-08-01 10:32:00,20.45,20.65,20.05,20.6,89550,1302525
NSE:NIFTY2580724250PE,2025-08-01 10:33:00,20.45,20.75,19.85,20,89925,1273125
NSE:NIFTY2580724250PE,2025-08-01 10:34:00,20,20.3,19.8,20.1,29775,1273125
NSE:NIFTY2580724250PE,2025-08-01 10:35:00,20.05,20.55,19.95,20.15,54525,1273125
NSE:NIFTY2580724250PE,2025-08-01 10:36:00,20.3,20.3,19.95,19.95,34425,1294500
NSE:NIFTY2580724250PE,2025-08-01 10:37:00,19.9,20,19.3,19.4,45300,1294500
NSE:NIFTY2580724250PE,2025-08-01 10:38:00,19.55,19.95,19.15,19.95,22350,1294500
NSE:NIFTY2580724250PE,2025-08-01 10:39:00,19.9,20.45,19.85,20,39525,1307175
NSE:NIFTY2580724250PE,2025-08-01 10:40:00,19.95,20.1,19.55,19.75,28125,1307175
NSE:NIFTY2580724250PE,2025-08-01 10:41:00,19.85,20.3,19.8,20.2,67500,1307175
NSE:NIFTY2580724250PE,2025-08-01 10:42:00,20.1,21.1,20,20.9,98175,1331775
NSE:NIFTY2580724250PE,2025-08-01 10:43:00,20.95,21,20.55,20.85,89100,1331775
NSE:NIFTY2580724250PE,2025-08-01 10:44:00,20.8,20.85,19.95,20.2,82275,1331775
NSE:NIFTY2580724250PE,2025-08-01 10:45:00,20.2,20.75,20,20.75,43200,1367700
NSE:NIFTY2580724250PE,2025-08-01 10:46:00,20.7,21.65,20.6,21.2,55350,1367700
NSE:NIFTY2580724250PE,2025-08-01 10:47:00,21.35,21.55,20.15,20.25,45675,1367700
NSE:NIFTY2580724250PE,2025-08-01 10:48:00,20.35,21.3,20.3,21.15,43875,1372650
NSE:NIFTY2580724250PE,2025-08-01 10:49:00,21.2,21.3,20.9,21.25,29175,1372650
NSE:NIFTY2580724250PE,2025-08-01 10:50:00,21.1,22.45,20.95,22.25,121500,1372650
NSE:NIFTY2580724250PE,2025-08-01 10:51:00,22.4,22.9,21.6,21.95,148875,1404150
NSE:NIFTY2580724250PE,2025-08-01 10:52:00,21.95,21.95,21.25,21.85,99525,1404150
NSE:NIFTY2580724250PE,2025-08-01 10:53:00,21.8,21.8,20.9,21.75,49725,1404150
NSE:NIFTY2580724250PE,2025-08-01 10:54:00,21.7,22.7,21.7,22.7,66750,1380675
