symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580724550CE,2025-08-01 09:15:00,294.55,294.55,233.6,252,53100,50475
NSE:NIFTY2580724550CE,2025-08-01 09:16:00,252,257.9,246.55,246.55,25500,50475
NSE:NIFTY2580724550CE,2025-08-01 09:17:00,246.55,254.25,244.1,247.6,23025,50475
NSE:NIFTY2580724550CE,2025-08-01 09:18:00,247.6,254.45,244.05,254.45,17850,73575
NSE:NIFTY2580724550CE,2025-08-01 09:19:00,254.45,261,250.4,259.35,21075,73575
NSE:NIFTY2580724550CE,2025-08-01 09:20:00,259.35,269.9,252,269,23025,73575
NSE:NIFTY2580724550CE,2025-08-01 09:21:00,269,271.1,263.4,265.95,32925,85050
NSE:NIFTY2580724550CE,2025-08-01 09:22:00,263.75,268,258.15,264.3,21000,85050
NSE:NIFTY2580724550CE,2025-08-01 09:23:00,264,267.9,255,257.35,18300,85050
NSE:NIFTY2580724550CE,2025-08-01 09:24:00,256.4,259.6,249.5,249.5,15675,109275
NSE:NIFTY2580724550CE,2025-08-01 09:25:00,249.5,252,239.65,239.8,41475,109275
NSE:NIFTY2580724550CE,2025-08-01 09:26:00,239.8,241.15,234.25,239.6,42000,109275
NSE:NIFTY2580724550CE,2025-08-01 09:27:00,240.7,241,235,236.6,31050,129000
NSE:NIFTY2580724550CE,2025-08-01 09:28:00,236.6,238.9,230.35,233,56700,129000
NSE:NIFTY2580724550CE,2025-08-01 09:29:00,233,240.9,232.15,238.95,35025,129000
NSE:NIFTY2580724550CE,2025-08-01 09:30:00,237.8,237.9,231.15,237.1,32250,136200
NSE:NIFTY2580724550CE,2025-08-01 09:31:00,237.7,244.15,232.5,244.15,41700,136200
NSE:NIFTY2580724550CE,2025-08-01 09:32:00,244.1,247.5,241,247.2,55200,136200
NSE:NIFTY2580724550CE,2025-08-01 09:33:00,247.4,281.45,245.05,276.15,98250,151350
NSE:NIFTY2580724550CE,2025-08-01 09:34:00,275.85,279.05,260.1,260.95,47025,151350
NSE:NIFTY2580724550CE,2025-08-01 09:35:00,260.9,270,258.3,263.05,30825,151350
NSE:NIFTY2580724550CE,2025-08-01 09:36:00,263.45,272.65,263.45,267.1,14550,130950
NSE:NIFTY2580724550CE,2025-08-01 09:37:00,266,266,248,257,27525,130950
NSE:NIFTY2580724550CE,2025-08-01 09:38:00,256.8,261.4,254,259.5,14550,130950
NSE:NIFTY2580724550CE,2025-08-01 09:39:00,259.05,259.8,248.5,249.5,14625,127575
NSE:NIFTY2580724550CE,2025-08-01 09:40:00,249.05,259.15,246.1,258.95,18450,127575
NSE:NIFTY2580724550CE,2025-08-01 09:41:00,260,264.65,258.2,260.8,20550,127575
NSE:NIFTY2580724550CE,2025-08-01 09:42:00,261.75,265,253.95,261.65,14925,138900
NSE:NIFTY2580724550CE,2025-08-01 09:43:00,262,266.55,262,264.3,17325,138900
NSE:NIFTY2580724550CE,2025-08-01 09:44:00,264,264,252.4,256,10350,138900
NSE:NIFTY2580724550CE,2025-08-01 09:45:00,256,257.05,249,256.45,14925,142200
NSE:NIFTY2580724550CE,2025-08-01 09:46:00,256.45,256.55,248.25,249.65,17100,142200
NSE:NIFTY2580724550CE,2025-08-01 09:47:00,251.2,252.85,243.25,251.55,15000,142200
NSE:NIFTY2580724550CE,2025-08-01 09:48:00,250.85,262.55,249.8,259.9,19725,150900
NSE:NIFTY2580724550CE,2025-08-01 09:49:00,259.6,264,254.6,255,16575,150900
NSE:NIFTY2580724550CE,2025-08-01 09:50:00,254.6,258.7,253.8,258.35,7050,150900
NSE:NIFTY2580724550CE,2025-08-01 09:51:00,258.35,266,255.85,256.65,20475,153150
NSE:NIFTY2580724550CE,2025-08-01 09:52:00,256.35,258.25,254.4,256,15975,153150
NSE:NIFTY2580724550CE,2025-08-01 09:53:00,256.75,258.15,249,250.6,17550,153150
NSE:NIFTY2580724550CE,2025-08-01 09:54:00,250.35,250.35,244.35,247.5,18450,168375
NSE:NIFTY2580724550CE,2025-08-01 09:55:00,248.25,250.4,244.15,247.5,11775,168375
NSE:NIFTY2580724550CE,2025-08-01 09:56:00,247.5,251.35,242,242.7,27150,168375
NSE:NIFTY2580724550CE,2025-08-01 09:57:00,242.7,245.5,240.4,241.95,13800,167475
NSE:NIFTY2580724550CE,2025-08-01 09:58:00,241.5,243.45,238.5,240.4,21600,167475
NSE:NIFTY2580724550CE,2025-08-01 09:59:00,239.85,248.5,239.5,245.25,11925,167475
NSE:NIFTY2580724550CE,2025-08-01 10:00:00,243.4,244,236.7,242,15900,172950
NSE:NIFTY2580724550CE,2025-08-01 10:01:00,242.2,249.25,242,249.25,15825,172950
NSE:NIFTY2580724550CE,2025-08-01 10:02:00,249.05,252.7,246.8,251.25,22125,172950
NSE:NIFTY2580724550CE,2025-08-01 10:03:00,251.3,267.5,248.45,265.8,50175,176700
NSE:NIFTY2580724550CE,2025-08-01 10:04:00,264,266.7,261.4,263.75,38325,176700
NSE:NIFTY2580724550CE,2025-08-01 10:05:00,263.9,265.2,255.7,260.85,20700,176700
NSE:NIFTY2580724550CE,2025-08-01 10:06:00,260.85,261.35,255.3,259.5,10650,175500
NSE:NIFTY2580724550CE,2025-08-01 10:07:00,260.7,263.8,253.25,253.25,22725,175500
NSE:NIFTY2580724550CE,2025-08-01 10:08:00,254.35,259,253.15,256.85,4800,175500
NSE:NIFTY2580724550CE,2025-08-01 10:09:00,256.85,267.65,256.85,264.9,9975,175350
NSE:NIFTY2580724550CE,2025-08-01 10:10:00,264,273.8,261.4,273.5,35175,175350
NSE:NIFTY2580724550CE,2025-08-01 10:11:00,273.65,275.9,270.1,272.15,27225,175350
NSE:NIFTY2580724550CE,2025-08-01 10:12:00,271.7,278.4,271.35,276.6,20325,169725
NSE:NIFTY2580724550CE,2025-08-01 10:13:00,275.4,278.45,271.35,276.9,17475,169725
NSE:NIFTY2580724550CE,2025-08-01 10:14:00,277.8,279,273,277.95,15225,169725
NSE:NIFTY2580724550CE,2025-08-01 10:15:00,278.65,281.85,272.8,279.25,18975,171300
NSE:NIFTY2580724550CE,2025-08-01 10:16:00,279.25,283.3,273.9,274.15,17475,171300
NSE:NIFTY2580724550CE,2025-08-01 10:17:00,274.1,276.5,268.15,270.55,12150,171300
NSE:NIFTY2580724550CE,2025-08-01 10:18:00,269.55,274.45,265.35,273.9,19575,167100
NSE:NIFTY2580724550CE,2025-08-01 10:19:00,273.55,280.55,273.55,280,21450,167100
NSE:NIFTY2580724550CE,2025-08-01 10:20:00,279.9,296.65,277,294,56775,167100
NSE:NIFTY2580724550CE,2025-08-01 10:21:00,294.45,300.05,291.4,297.2,43275,156600
NSE:NIFTY2580724550CE,2025-08-01 10:22:00,300,301.35,288.65,288.65,26475,156600
NSE:NIFTY2580724550CE,2025-08-01 10:23:00,289.2,289.2,277.95,284.65,17175,156600
NSE:NIFTY2580724550CE,2025-08-01 10:24:00,284.6,288.4,281,281,10500,148875
NSE:NIFTY2580724550CE,2025-08-01 10:25:00,280.8,293.45,280.8,291.9,17475,148875
NSE:NIFTY2580724550CE,2025-08-01 10:26:00,291,291,284.2,286.5,11925,148875
NSE:NIFTY2580724550CE,2025-08-01 10:27:00,288.1,291.8,287,290,13875,155325
NSE:NIFTY2580724550CE,2025-08-01 10:28:00,290.75,290.75,280.8,282.9,25125,155325
NSE:NIFTY2580724550CE,2025-08-01 10:29:00,283.8,291.35,282.75,289.6,29250,155325
NSE:NIFTY2580724550CE,2025-08-01 10:30:00,289.5,294.7,281.75,283.45,16950,158175
NSE:NIFTY2580724550CE,2025-08-01 10:31:00,283.25,297.2,282.4,295.3,22800,158175
NSE:NIFTY2580724550CE,2025-08-01 10:32:00,294.3,304.85,294.3,301.9,22200,158175
NSE:NIFTY2580724550CE,2025-08-01 10:33:00,303.95,303.95,296.7,303,16950,153450
NSE:NIFTY2580724550CE,2025-08-01 10:34:00,303.45,305,299.1,300.15,14325,153450
NSE:NIFTY2580724550CE,2025-08-01 10:35:00,300.3,300.95,294.1,296.4,10575,153450
NSE:NIFTY2580724550CE,2025-08-01 10:36:00,298.85,304,298.85,302.05,10125,149625
NSE:NIFTY2580724550CE,2025-08-01 10:37:00,303.2,306.5,298.5,302.75,14250,149625
NSE:NIFTY2580724550CE,2025-08-01 10:38:00,303.5,304.1,294.05,294.05,8250,149625
NSE:NIFTY2580724550CE,2025-08-01 10:39:00,294.05,298,291.65,292.2,4725,147750
NSE:NIFTY2580724550CE,2025-08-01 10:40:00,295,299,295,299,6450,147750
