symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580724950PE,2025-08-01 09:15:00,273.15,316,264.3,291.35,47775,295500
NSE:NIFTY2580724950PE,2025-08-01 09:16:00,293.9,302.75,290.35,302.75,22800,295500
NSE:NIFTY2580724950PE,2025-08-01 09:17:00,301.55,306,293.5,298.05,35775,295500
NSE:NIFTY2580724950PE,2025-08-01 09:18:00,299.2,302.05,289.8,289.8,15525,301500
NSE:NIFTY2580724950PE,2025-08-01 09:19:00,291.7,295.15,286.4,287.8,8475,301500
NSE:NIFTY2580724950PE,2025-08-01 09:20:00,288.5,294.1,279.25,279.6,16950,301500
NSE:NIFTY2580724950PE,2025-08-01 09:21:00,282.2,285.1,277.75,282.95,20100,299550
NSE:NIFTY2580724950PE,2025-08-01 09:22:00,285,289,280.2,283.2,7125,299550
NSE:NIFTY2580724950PE,2025-08-01 09:23:00,283.75,290.8,279.65,288.85,16800,299550
NSE:NIFTY2580724950PE,2025-08-01 09:24:00,288.7,295.25,287.35,295.1,12075,298575
NSE:NIFTY2580724950PE,2025-08-01 09:25:00,293.25,309.7,293.25,308.85,38775,298575
NSE:NIFTY2580724950PE,2025-08-01 09:26:00,309.65,317.15,308.5,311,34725,298575
NSE:NIFTY2580724950PE,2025-08-01 09:27:00,311.45,314.5,310,314.1,13500,296475
NSE:NIFTY2580724950PE,2025-08-01 09:28:00,314.1,322.3,311.35,318.15,21750,296475
NSE:NIFTY2580724950PE,2025-08-01 09:29:00,318.15,318.15,311,311.25,10875,296475
NSE:NIFTY2580724950PE,2025-08-01 09:30:00,311,323.05,311,315.5,20775,294975
NSE:NIFTY2580724950PE,2025-08-01 09:31:00,315.95,320.85,304.9,304.9,19875,294975
NSE:NIFTY2580724950PE,2025-08-01 09:32:00,305.45,310.85,303,303.7,19125,294975
NSE:NIFTY2580724950PE,2025-08-01 09:33:00,305.35,306.25,266.8,270.7,41550,293925
NSE:NIFTY2580724950PE,2025-08-01 09:34:00,270.35,287.65,269,287.1,27450,293925
NSE:NIFTY2580724950PE,2025-08-01 09:35:00,287.05,289,278.95,285.1,10725,293925
NSE:NIFTY2580724950PE,2025-08-01 09:36:00,282.95,282.95,277,281.5,8025,301350
NSE:NIFTY2580724950PE,2025-08-01 09:37:00,283.35,300,283.35,290.25,21300,301350
NSE:NIFTY2580724950PE,2025-08-01 09:38:00,292.35,294.95,288.6,289.2,4875,301350
