symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY25AUGFUT,2025-08-01 09:15:00,24800,24820,24765,24788.3,221250,15571050
NSE:NIFTY25AUGFUT,2025-08-01 09:16:00,24788.5,24792.2,24775.2,24776.6,88725,15571050
NSE:NIFTY25AUGFUT,2025-08-01 09:17:00,24775.1,24786.1,24771.1,24780.6,77025,15571050
NSE:NIFTY25AUGFUT,2025-08-01 09:18:00,24779.3,24787.4,24774.6,24786.1,48075,15577200
NSE:NIFTY25AUGFUT,2025-08-01 09:19:00,24786,24795,24780.2,24792.1,35925,15577200
NSE:NIFTY25AUGFUT,2025-08-01 09:20:00,24789,24805,24784,24805,83475,15577200
NSE:NIFTY25AUGFUT,2025-08-01 09:21:00,24800.1,24805,24797.9,24800,27450,15623700
NSE:NIFTY25AUGFUT,2025-08-01 09:22:00,24799.1,24800.8,24792.1,24800,25200,15623700
NSE:NIFTY25AUGFUT,2025-08-01 09:23:00,24799.1,24803,24790,24790.9,36600,15623700
NSE:NIFTY25AUGFUT,2025-08-01 09:24:00,24790.7,24791.5,24782,24782,34725,15669900
NSE:NIFTY25AUGFUT,2025-08-01 09:25:00,24783,24785,24765.1,24765.1,51975,15669900
NSE:NIFTY25AUGFUT,2025-08-01 09:26:00,24766.4,24766.9,24756,24763.9,56475,15669900
NSE:NIFTY25AUGFUT,2025-08-01 09:27:00,24760.5,24763.7,24755.2,24755.6,25350,15712125
NSE:NIFTY25AUGFUT,2025-08-01 09:28:00,24755.5,24757.9,24750,24751.2,59175,15712125
NSE:NIFTY25AUGFUT,2025-08-01 09:29:00,24754.9,24760,24751,24758.4,21825,15712125
NSE:NIFTY25AUGFUT,2025-08-01 09:30:00,24757,24759,24743.1,24755,52350,15768600
NSE:NIFTY25AUGFUT,2025-08-01 09:31:00,24759.1,24763,24744.6,24762.7,40425,15768600
NSE:NIFTY25AUGFUT,2025-08-01 09:32:00,24762.6,24769.8,24760.3,24769.8,26025,15768600
NSE:NIFTY25AUGFUT,2025-08-01 09:33:00,24769.7,24815,24768.6,24814.7,40575,15810975
NSE:NIFTY25AUGFUT,2025-08-01 09:34:00,24813.7,24816.7,24790,24793,36600,15810975
NSE:NIFTY25AUGFUT,2025-08-01 09:35:00,24790,24800.9,24790,24796,20175,15810975
NSE:NIFTY25AUGFUT,2025-08-01 09:36:00,24796,24805,24794.2,24799.6,25500,15835425
NSE:NIFTY25AUGFUT,2025-08-01 09:37:00,24796.5,24796.6,24775,24785,14700,15835425
NSE:NIFTY25AUGFUT,2025-08-01 09:38:00,24786.3,24789.4,24778.4,24789.4,19650,15835425
NSE:NIFTY25AUGFUT,2025-08-01 09:39:00,24788.7,24789,24770,24771.7,21825,15854400
NSE:NIFTY25AUGFUT,2025-08-01 09:40:00,24771.7,24789.4,24770,24789.4,18675,15854400
NSE:NIFTY25AUGFUT,2025-08-01 09:41:00,24788,24794.9,24787,24792,18675,15854400
NSE:NIFTY25AUGFUT,2025-08-01 09:42:00,24791.3,24795,24783,24795,17475,15865425
NSE:NIFTY25AUGFUT,2025-08-01 09:43:00,24794.8,24800.1,24793.4,24797.2,12075,15865425
NSE:NIFTY25AUGFUT,2025-08-01 09:44:00,24798.3,24798.4,24781,24784.9,12525,15865425
NSE:NIFTY25AUGFUT,2025-08-01 09:45:00,24784.9,24787.8,24773.9,24783.5,48150,15866475
NSE:NIFTY25AUGFUT,2025-08-01 09:46:00,24783.5,24787.6,24776.7,24778.9,9900,15866475
NSE:NIFTY25AUGFUT,2025-08-01 09:47:00,24780.9,24781.3,24770,24780,17700,15866475
NSE:NIFTY25AUGFUT,2025-08-01 09:48:00,24778,24794.9,24775,24792.9,16575,15889950
NSE:NIFTY25AUGFUT,2025-08-01 09:49:00,24792.9,24798.4,24785,24787.3,13725,15889950
NSE:NIFTY25AUGFUT,2025-08-01 09:50:00,24787.1,24792,24780.2,24790.2,17100,15889950
NSE:NIFTY25AUGFUT,2025-08-01 09:51:00,24790.4,24798,24788,24789.2,8625,15877350
NSE:NIFTY25AUGFUT,2025-08-01 09:52:00,24788,24790,24783.1,24789.8,10200,15877350
NSE:NIFTY25AUGFUT,2025-08-01 09:53:00,24789.8,24789.8,24775.2,24781.6,14775,15877350
NSE:NIFTY25AUGFUT,2025-08-01 09:54:00,24781.4,24781.4,24770.8,24772.5,15150,15870225
NSE:NIFTY25AUGFUT,2025-08-01 09:55:00,24778.6,24780,24768.1,24773.2,16650,15870225
NSE:NIFTY25AUGFUT,2025-08-01 09:56:00,24773.2,24778.7,24765.6,24765.6,10500,15870225
NSE:NIFTY25AUGFUT,2025-08-01 09:57:00,24766.5,24770,24760.5,24766,15750,15880425
NSE:NIFTY25AUGFUT,2025-08-01 09:58:00,24764.9,24769.7,24758.6,24760.8,16725,15880425
NSE:NIFTY25AUGFUT,2025-08-01 09:59:00,24760,24773.5,24758,24767,16500,15880425
NSE:NIFTY25AUGFUT,2025-08-01 10:00:00,24770.5,24770.5,24758,24764.5,21750,15876750
NSE:NIFTY25AUGFUT,2025-08-01 10:01:00,24764.4,24775,24761.7,24775,15000,15876750
NSE:NIFTY25AUGFUT,2025-08-01 10:02:00,24777,24777,24770.4,24777,12375,15876750
NSE:NIFTY25AUGFUT,2025-08-01 10:03:00,24777,24799,24771.7,24796,24600,15897525
NSE:NIFTY25AUGFUT,2025-08-01 10:04:00,24794.5,24795.9,24790,24795,10350,15897525
NSE:NIFTY25AUGFUT,2025-08-01 10:05:00,24795,24795,24784,24791.4,11475,15897525
NSE:NIFTY25AUGFUT,2025-08-01 10:06:00,24791.4,24791.4,24785,24788.6,5550,15885300
NSE:NIFTY25AUGFUT,2025-08-01 10:07:00,24790,24792.9,24783.7,24783.7,4125,15885300
NSE:NIFTY25AUGFUT,2025-08-01 10:08:00,24783.7,24790.2,24782.2,24786.9,5925,15885300
NSE:NIFTY25AUGFUT,2025-08-01 10:09:00,24785,24796.9,24784.8,24796.9,8100,15889950
NSE:NIFTY25AUGFUT,2025-08-01 10:10:00,24799,24808,24789.5,24808,25500,15889950
NSE:NIFTY25AUGFUT,2025-08-01 10:11:00,24808.8,24812,24805,24809,19050,15889950
NSE:NIFTY25AUGFUT,2025-08-01 10:12:00,24809,24818.6,24807,24817,18525,15884700
NSE:NIFTY25AUGFUT,2025-08-01 10:13:00,24810.4,24818.9,24807,24816,12900,15884700
NSE:NIFTY25AUGFUT,2025-08-01 10:14:00,24817,24819,24808.8,24817,9150,15884700
NSE:NIFTY25AUGFUT,2025-08-01 10:15:00,24812.2,24820,24811,24815.5,26775,15893100
NSE:NIFTY25AUGFUT,2025-08-01 10:16:00,24820,24822.5,24811.3,24812,17775,15893100
NSE:NIFTY25AUGFUT,2025-08-01 10:17:00,24811,24815,24805,24806.4,12075,15893100
NSE:NIFTY25AUGFUT,2025-08-01 10:18:00,24804.5,24813.3,24800.1,24813.3,12450,15903525
NSE:NIFTY25AUGFUT,2025-08-01 10:19:00,24814.8,24822.9,24813.3,24818,9525,15903525
NSE:NIFTY25AUGFUT,2025-08-01 10:20:00,24820,24838.9,24816,24837,40425,15903525
NSE:NIFTY25AUGFUT,2025-08-01 10:21:00,24836,24845,24834.8,24844,26550,15912000
NSE:NIFTY25AUGFUT,2025-08-01 10:22:00,24844,24848,24835,24835.3,24000,15912000
NSE:NIFTY25AUGFUT,2025-08-01 10:23:00,24833,24833.9,24820.1,24824.5,11325,15912000
NSE:NIFTY25AUGFUT,2025-08-01 10:24:00,24824.8,24834.5,24823.2,24823.2,8025,15924525
NSE:NIFTY25AUGFUT,2025-08-01 10:25:00,24822.2,24839,24822.2,24837.4,42450,15924525
NSE:NIFTY25AUGFUT,2025-08-01 10:26:00,24836.6,24837,24827,24830,8250,15924525
NSE:NIFTY25AUGFUT,2025-08-01 10:27:00,24830.1,24840,24830.1,24839.9,9900,15930450
NSE:NIFTY25AUGFUT,2025-08-01 10:28:00,24839.9,24839.9,24826.4,24826.4,14475,15930450
NSE:NIFTY25AUGFUT,2025-08-01 10:29:00,24829.4,24835,24827,24835,4425,15930450
NSE:NIFTY25AUGFUT,2025-08-01 10:30:00,24832,24840.1,24827,24829.4,8325,15936675
NSE:NIFTY25AUGFUT,2025-08-01 10:31:00,24831.1,24843,24827,24843,7050,15936675
NSE:NIFTY25AUGFUT,2025-08-01 10:32:00,24844,24850,24840,24849.9,18600,15936675
NSE:NIFTY25AUGFUT,2025-08-01 10:33:00,24850,24850,24841.5,24848.3,15750,15942300
NSE:NIFTY25AUGFUT,2025-08-01 10:34:00,24850,24853.6,24845.1,24846.1,17400,15942300
NSE:NIFTY25AUGFUT,2025-08-01 10:35:00,24846.9,24854.3,24842.6,24849.4,34200,15942300
NSE:NIFTY25AUGFUT,2025-08-01 10:36:00,24849.4,24850.5,24845,24850,6375,15959175
NSE:NIFTY25AUGFUT,2025-08-01 10:37:00,24850,24854.9,24845.7,24848.7,17550,15959175
