date,price,qty,trnvr,cum_trnvr
2025-08-01 09:15:03 AM,126.8,1098,139226.4,139226.4
2025-08-01 09:15:12 AM,126.89,0,0.0,139226.4
2025-08-01 09:15:14 AM,126.89,2,253.78,139480.18
2025-08-01 09:15:21 AM,126.83,0,0.0,139480.18
2025-08-01 09:15:25 AM,126.83,14,1775.62,141255.8
2025-08-01 09:15:48 AM,126.82,0,0.0,141255.8
2025-08-01 09:15:50 AM,126.82,24,3043.68,144299.47999999998
2025-08-01 09:16:14 AM,126.62,105,13295.1,157594.58
2025-08-01 09:16:55 AM,126.5,144,18216.0,175810.58
2025-08-01 09:17:04 AM,126.5,1,126.5,175937.08
2025-08-01 09:17:37 AM,126.5,111,14041.5,189978.58
2025-08-01 09:17:45 AM,126.51,437,55284.87,245263.44999999998
2025-08-01 09:17:49 AM,126.57,0,0.0,245263.44999999998
2025-08-01 09:17:53 AM,126.57,5,632.8499999999999,245896.3
2025-08-01 09:18:00 AM,126.8,0,0.0,245896.3
2025-08-01 09:18:01 AM,126.8,127,16103.6,261999.9
2025-08-01 09:18:20 AM,126.8,30,3804.0,265803.9
2025-08-01 09:18:24 AM,126.83,0,0.0,265803.9
2025-08-01 09:18:27 AM,126.83,100,12683.0,278486.9
2025-08-01 09:18:31 AM,126.99,0,0.0,278486.9
2025-08-01 09:18:35 AM,126.96,1101,139782.96,418269.86
2025-08-01 09:18:36 AM,126.83,158,20039.14,438309.0
2025-08-01 09:18:43 AM,126.83,178,22575.739999999998,460884.74
2025-08-01 09:18:44 AM,126.83,100,12683.0,473567.74
2025-08-01 09:18:53 AM,126.95,0,0.0,473567.74
2025-08-01 09:18:55 AM,127.24,0,0.0,473567.74
2025-08-01 09:18:59 AM,127.24,2760,351182.39999999997,824750.1399999999
2025-08-01 09:19:01 AM,127.69,0,0.0,824750.1399999999
2025-08-01 09:19:07 AM,127.69,166,21196.54,845946.6799999999
2025-08-01 09:19:11 AM,127.53,0,0.0,845946.6799999999
2025-08-01 09:19:15 AM,127.53,50,6376.5,852323.1799999999
2025-08-01 09:19:19 AM,127.64,0,0.0,852323.1799999999
2025-08-01 09:19:23 AM,127.64,410,52332.4,904655.58
2025-08-01 09:19:41 AM,127.59,400,51036.0,955691.58
2025-08-01 09:19:47 AM,127.5,0,0.0,955691.58
2025-08-01 09:19:48 AM,127.5,136,17340.0,973031.58
2025-08-01 09:19:49 AM,127.55,17,2168.35,975199.9299999999
2025-08-01 09:19:55 AM,127.35,0,0.0,975199.9299999999
2025-08-01 09:19:55 AM,127.35,353,44954.549999999996,1020154.48
2025-08-01 09:20:03 AM,127.36,17,2165.12,1022319.6
2025-08-01 09:20:10 AM,127.58,0,0.0,1022319.6
2025-08-01 09:20:11 AM,127.58,102,13013.16,1035332.76
2025-08-01 09:20:37 AM,127.64,500,63820.0,1099152.76
2025-08-01 09:21:10 AM,127.68,0,0.0,1099152.76
2025-08-01 09:21:14 AM,127.68,300,38304.0,1137456.76
2025-08-01 09:21:42 AM,127.4,0,0.0,1137456.76
2025-08-01 09:21:45 AM,127.4,100,12740.0,1150196.76
2025-08-01 09:21:53 AM,127.62,2,255.24,1150452.0
2025-08-01 09:22:31 AM,127.62,179,22843.98,1173295.98
2025-08-01 09:22:51 AM,127.41,0,0.0,1173295.98
2025-08-01 09:22:54 AM,127.41,77,9810.57,1183106.55
2025-08-01 09:23:05 AM,127.6,0,0.0,1183106.55
2025-08-01 09:23:09 AM,127.6,50,6380.0,1189486.55
2025-08-01 09:23:32 AM,127.4,60,7644.0,1197130.55
2025-08-01 09:24:02 AM,127.1,148,18810.8,1215941.35
2025-08-01 09:24:04 AM,127.11,34,4321.74,1220263.09
2025-08-01 09:24:24 AM,126.82,0,0.0,1220263.09
2025-08-01 09:24:25 AM,126.82,2519,319459.57999999996,1539722.67
2025-08-01 09:24:50 AM,126.65,50,6332.5,1546055.17
2025-08-01 09:24:55 AM,126.65,50,6332.5,1552387.67
2025-08-01 09:25:03 AM,126.65,60,7599.0,1559986.67
2025-08-01 09:25:33 AM,126.65,35,4432.75,1564419.42
2025-08-01 09:25:39 AM,126.78,0,0.0,1564419.42
2025-08-01 09:25:40 AM,126.78,3,380.34000000000003,1564799.76
2025-08-01 09:26:16 AM,126.56,0,0.0,1564799.76
2025-08-01 09:26:18 AM,126.65,836,105879.40000000001,1670679.16
2025-08-01 09:26:40 AM,126.67,0,0.0,1670679.16
2025-08-01 09:26:41 AM,126.67,49,6206.83,1676885.99
2025-08-01 09:26:55 AM,126.96,0,0.0,1676885.99
2025-08-01 09:26:56 AM,126.96,20,2539.2,1679425.19
2025-08-01 09:27:11 AM,127.05,29,3684.45,1683109.64
2025-08-01 09:27:47 AM,127.01,0,0.0,1683109.64
2025-08-01 09:27:48 AM,127.01,96,12192.960000000001,1695302.5999999999
2025-08-01 09:28:35 AM,126.8,349,44253.2,1739555.7999999998
2025-08-01 09:29:17 AM,126.82,0,0.0,1739555.7999999998
2025-08-01 09:29:21 AM,126.82,100,12682.0,1752237.7999999998
2025-08-01 09:29:27 AM,127.0,0,0.0,1752237.7999999998
2025-08-01 09:29:28 AM,127.0,200,25400.0,1777637.7999999998
2025-08-01 09:29:57 AM,126.99,0,0.0,1777637.7999999998
2025-08-01 09:29:58 AM,126.99,1,126.99,1777764.7899999998
2025-08-01 09:30:04 AM,126.96,0,0.0,1777764.7899999998
2025-08-01 09:30:05 AM,126.96,4,507.84,1778272.63
2025-08-01 09:30:21 AM,126.96,1,126.96,1778399.5899999999
2025-08-01 09:30:25 AM,126.79,0,0.0,1778399.5899999999
2025-08-01 09:30:28 AM,126.79,75,9509.25,1787908.8399999999
2025-08-01 09:30:33 AM,126.76,0,0.0,1787908.8399999999
2025-08-01 09:30:35 AM,126.76,1,126.76,1788035.5999999999
2025-08-01 09:30:39 AM,126.81,0,0.0,1788035.5999999999
2025-08-01 09:30:43 AM,126.81,1,126.81,1788162.41
2025-08-01 09:30:50 AM,126.8,30,3804.0,1791966.41
2025-08-01 09:31:08 AM,126.79,0,0.0,1791966.41
2025-08-01 09:31:12 AM,126.79,94,11918.26,1803884.67
2025-08-01 09:31:25 AM,126.9,0,0.0,1803884.67
2025-08-01 09:31:27 AM,126.9,650,82485.0,1886369.67
2025-08-01 09:32:35 AM,126.73,0,0.0,1886369.67
2025-08-01 09:32:37 AM,126.7,330,41811.0,1928180.67
2025-08-01 09:32:51 AM,126.88,10,1268.8,1929449.47
2025-08-01 09:33:31 AM,127.0,0,0.0,1929449.47
2025-08-01 09:33:32 AM,127.0,361,45847.0,1975296.47
2025-08-01 09:34:46 AM,127.3,0,0.0,1975296.47
2025-08-01 09:34:49 AM,127.3,50,6365.0,1981661.47
2025-08-01 09:35:31 AM,127.3,100,12730.0,1994391.47
2025-08-01 09:35:51 AM,127.25,0,0.0,1994391.47
2025-08-01 09:35:51 AM,127.25,520,66170.0,2060561.47
2025-08-01 09:36:01 AM,127.26,0,0.0,2060561.47
2025-08-01 09:36:04 AM,127.35,0,0.0,2060561.47
2025-08-01 09:36:05 AM,127.35,750,95512.5,2156073.9699999997
2025-08-01 09:36:11 AM,127.35,11,1400.85,2157474.82
2025-08-01 09:36:28 AM,127.2,0,0.0,2157474.82
2025-08-01 09:36:31 AM,127.2,7699,979312.8,3136787.62
2025-08-01 09:36:32 AM,127.27,0,0.0,3136787.62
