date,price,qty,trnvr,cum_trnvr
2025-08-01 09:15:02 AM,128.27,74540,9561245.8,9561245.8
2025-08-01 09:15:02 AM,128.26,0,0.0,9561245.8
2025-08-01 09:15:03 AM,128.28,0,0.0,9561245.8
2025-08-01 09:15:04 AM,128.4,9555,1226862.0,10788107.8
2025-08-01 09:15:12 AM,128.19,0,0.0,10788107.8
2025-08-01 09:15:14 AM,128.17,27760,3557999.1999999997,14346107.0
2025-08-01 09:15:16 AM,128.05,800,102440.00000000001,14448547.0
2025-08-01 09:15:21 AM,128.47,0,0.0,14448547.0
2025-08-01 09:15:22 AM,128.44,0,0.0,14448547.0
2025-08-01 09:15:24 AM,128.49,9528,1224252.72,15672799.72
2025-08-01 09:15:26 AM,128.55,6817,876325.3500000001,16549125.07
2025-08-01 09:15:28 AM,128.48,0,0.0,16549125.07
2025-08-01 09:15:32 AM,128.53,0,0.0,16549125.07
2025-08-01 09:15:33 AM,128.53,15543,1997741.79,18546866.86
2025-08-01 09:15:34 AM,128.48,503,64625.439999999995,18611492.3
2025-08-01 09:15:36 AM,128.51,0,0.0,18611492.3
2025-08-01 09:15:40 AM,128.38,0,0.0,18611492.3
2025-08-01 09:15:41 AM,128.47,72073,9259218.31,27870710.61
2025-08-01 09:15:43 AM,128.4,2850,365940.0,28236650.61
2025-08-01 09:15:45 AM,128.45,0,0.0,28236650.61
2025-08-01 09:15:48 AM,128.53,0,0.0,28236650.61
2025-08-01 09:15:49 AM,128.47,11646,1496161.6199999999,29732812.23
2025-08-01 09:15:51 AM,128.48,2501,321328.48,30054140.71
2025-08-01 09:15:54 AM,128.56,0,0.0,30054140.71
2025-08-01 09:15:56 AM,128.58,0,0.0,30054140.71
2025-08-01 09:15:58 AM,128.58,6516,837827.28,30891967.990000002
2025-08-01 09:15:59 AM,128.56,4454,572606.24,31464574.23
2025-08-01 09:16:00 AM,128.48,0,0.0,31464574.23
2025-08-01 09:16:00 AM,128.48,1149,147623.52,31612197.75
2025-08-01 09:16:01 AM,128.45,0,0.0,31612197.75
2025-08-01 09:16:01 AM,128.33,0,0.0,31612197.75
2025-08-01 09:16:01 AM,128.33,5080,651916.4,32264114.15
2025-08-01 09:16:02 AM,128.4,301,38648.4,32302762.549999997
2025-08-01 09:16:03 AM,128.27,2342,300408.34,32603170.889999997
2025-08-01 09:16:03 AM,128.22,0,0.0,32603170.889999997
2025-08-01 09:16:03 AM,128.22,281,36029.82,32639200.709999997
2025-08-01 09:16:04 AM,128.29,197,25273.129999999997,32664473.839999996
2025-08-01 09:16:04 AM,128.3,1276,163710.80000000002,32828184.639999997
2025-08-01 09:16:04 AM,128.33,0,0.0,32828184.639999997
2025-08-01 09:16:05 AM,128.33,233,29900.890000000003,32858085.529999997
2025-08-01 09:16:07 AM,128.35,175,22461.25,32880546.779999997
2025-08-01 09:16:08 AM,128.32,1675,214936.0,33095482.779999997
2025-08-01 09:16:08 AM,128.15,8544,1094913.6,34190396.379999995
2025-08-01 09:16:09 AM,128.23,205,26287.149999999998,34216683.529999994
2025-08-01 09:16:10 AM,128.19,234,29996.46,34246679.989999995
2025-08-01 09:16:10 AM,128.18,0,0.0,34246679.989999995
2025-08-01 09:16:11 AM,128.15,1359,174155.85,34420835.839999996
2025-08-01 09:16:12 AM,128.17,569,72928.73,34493764.56999999
2025-08-01 09:16:12 AM,128.17,230,29479.1,34523243.669999994
2025-08-01 09:16:13 AM,128.16,1720,220435.19999999998,34743678.87
2025-08-01 09:16:14 AM,128.16,100,12816.0,34756494.87
2025-08-01 09:16:14 AM,128.15,0,0.0,34756494.87
2025-08-01 09:16:15 AM,128.15,1,128.15,34756623.019999996
2025-08-01 09:16:15 AM,128.16,1380,176860.8,34933483.81999999
2025-08-01 09:16:16 AM,128.14,49,6278.86,34939762.67999999
2025-08-01 09:16:17 AM,128.14,454,58175.55999999999,34997938.239999995
2025-08-01 09:16:17 AM,128.15,10,1281.5,34999219.739999995
2025-08-01 09:16:18 AM,128.17,932,119454.43999999999,35118674.17999999
2025-08-01 09:16:19 AM,127.91,53320,6820161.2,41938835.379999995
2025-08-01 09:16:19 AM,127.96,0,0.0,41938835.379999995
2025-08-01 09:16:20 AM,127.98,3237,414271.26,42353106.63999999
2025-08-01 09:16:20 AM,127.98,100,12798.0,42365904.63999999
2025-08-01 09:16:21 AM,127.9,2438,311820.2,42677724.839999996
2025-08-01 09:16:21 AM,127.98,0,0.0,42677724.839999996
2025-08-01 09:16:22 AM,127.98,255,32634.9,42710359.739999995
2025-08-01 09:16:22 AM,127.91,1249,159759.59,42870119.33
2025-08-01 09:16:23 AM,127.99,0,0.0,42870119.33
2025-08-01 09:16:24 AM,127.92,1205,154143.6,43024262.93
2025-08-01 09:16:25 AM,128.0,27,3456.0,43027718.93
2025-08-01 09:16:25 AM,128.0,7,896.0,43028614.93
2025-08-01 09:16:26 AM,128.0,2730,349440.0,43378054.93
2025-08-01 09:16:26 AM,127.94,0,0.0,43378054.93
2025-08-01 09:16:27 AM,127.98,65,8318.7,43386373.63
2025-08-01 09:16:27 AM,128.0,0,0.0,43386373.63
2025-08-01 09:16:28 AM,128.0,1101,140928.0,43527301.63
2025-08-01 09:16:29 AM,127.87,26361,3370781.0700000003,46898082.7
2025-08-01 09:16:30 AM,127.93,197,25202.210000000003,46923284.910000004
2025-08-01 09:16:30 AM,127.86,0,0.0,46923284.910000004
2025-08-01 09:16:31 AM,127.99,14000,1791860.0,48715144.910000004
2025-08-01 09:16:32 AM,127.95,1051,134475.45,48849620.36000001
2025-08-01 09:16:33 AM,127.95,500,63975.0,48913595.36000001
