date,price,qty,trnvr,cum_trnvr
2025-08-01 09:15:01 AM,29.71,32250,958147.5,958147.5
2025-08-01 09:15:02 AM,29.69,0,0.0,958147.5
2025-08-01 09:15:03 AM,29.69,6637,197052.53,1155200.03
2025-08-01 09:15:11 AM,29.68,0,0.0,1155200.03
2025-08-01 09:15:13 AM,29.68,3811,113110.48,1268310.51
2025-08-01 09:15:15 AM,29.69,1500,44535.0,1312845.51
2025-08-01 09:15:21 AM,29.71,0,0.0,1312845.51
2025-08-01 09:15:23 AM,29.71,1859,55230.89,1368076.4
2025-08-01 09:15:25 AM,29.71,3,89.13,1368165.5299999998
2025-08-01 09:15:27 AM,29.68,0,0.0,1368165.5299999998
2025-08-01 09:15:32 AM,29.68,6726,199627.68,1567793.2099999997
2025-08-01 09:15:33 AM,29.68,71,2107.28,1569900.4899999998
2025-08-01 09:15:40 AM,29.68,105,3116.4,1573016.8899999997
2025-08-01 09:15:42 AM,29.69,5401,160355.69,1733372.5799999996
2025-08-01 09:15:44 AM,29.64,0,0.0,1733372.5799999996
2025-08-01 09:15:47 AM,29.68,0,0.0,1733372.5799999996
2025-08-01 09:15:48 AM,29.68,5501,163269.68,1896642.2599999995
2025-08-01 09:16:02 AM,29.63,0,0.0,1896642.2599999995
2025-08-01 09:16:05 AM,29.61,2201,65171.61,1961813.8699999996
2025-08-01 09:16:13 AM,29.61,14707,435474.27,2397288.1399999997
2025-08-01 09:16:14 AM,29.61,11,325.71,2397613.8499999996
2025-08-01 09:16:21 AM,29.6,3654,108158.40000000001,2505772.2499999995
2025-08-01 09:16:29 AM,29.6,3195,94572.0,2600344.2499999995
2025-08-01 09:16:36 AM,29.63,0,0.0,2600344.2499999995
2025-08-01 09:16:38 AM,29.64,11116,329478.24,2929822.4899999993
2025-08-01 09:16:46 AM,29.59,1000,29590.0,2959412.4899999993
2025-08-01 09:16:46 AM,29.64,0,0.0,2959412.4899999993
2025-08-01 09:16:47 AM,29.64,11,326.04,2959738.5299999993
2025-08-01 09:16:54 AM,29.65,1323,39226.95,2998965.4799999995
2025-08-01 09:16:56 AM,29.67,0,0.0,2998965.4799999995
2025-08-01 09:17:02 AM,29.67,109,3234.03,3002199.5099999993
