symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580725300PE,2025-07-31 09:15:15,600.95,601,597,597,150,169800
NSE:NIFTY2580725300PE,2025-07-31 09:15:20,597,597,597,597,75,169800
NSE:NIFTY2580725300PE,2025-07-31 09:15:25,596.85,596.85,596.85,596.85,75,169800
NSE:NIFTY2580725300PE,2025-07-31 09:15:30,596.85,601,594.9,601,375,169800
NSE:NIFTY2580725300PE,2025-07-31 09:15:35,598.25,598.25,597.3,597.3,150,169875
NSE:NIFTY2580725300PE,2025-07-31 09:15:40,597.3,597.3,597.3,597.3,0,169875
NSE:NIFTY2580725300PE,2025-07-31 09:15:45,600,600,600,600,150,169875
NSE:NIFTY2580725300PE,2025-07-31 09:15:50,600,600,597,598.75,1875,169875
NSE:NIFTY2580725300PE,2025-07-31 09:15:55,598.95,599,598.95,599,750,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:00,602.85,602.85,602.85,602.85,675,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:05,602.85,602.85,602.85,602.85,0,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:10,602.85,602.85,602.85,602.85,0,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:15,620.6,622.85,620.6,622.85,1125,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:20,622.5,625,622.5,625,75,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:25,625,625,625,625,75,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:30,626.05,626.05,621,621,825,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:35,621,621,621,621,0,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:40,621,621,621,621,0,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:45,631.9,631.9,631.9,631.9,300,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:50,620.4,627.25,620.4,627.25,1725,169875
NSE:NIFTY2580725300PE,2025-07-31 09:16:55,627.25,627.25,627.25,627.25,450,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:00,627.5,632,627.5,632,150,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:05,635,635,635,635,150,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:10,636.15,636.25,636.15,636.25,150,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:15,640,640,639.2,639.2,150,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:20,649,649,649,649,75,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:25,649,649,649,649,0,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:30,645.5,647,645.5,646.05,450,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:35,643.05,647,643.05,647,150,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:40,643.05,643.05,640.15,640.15,450,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:45,640.15,640.15,640.15,640.15,75,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:50,640.15,640.15,640.15,640.15,0,169875
NSE:NIFTY2580725300PE,2025-07-31 09:17:55,632.15,632.15,626.05,626.05,900,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:00,632,632,632,632,750,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:05,633.95,633.95,617.5,617.5,3225,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:10,613.45,613.45,610.2,610.2,600,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:15,616.3,618.95,616.3,618.95,225,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:20,621.1,622.95,621.1,622.95,375,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:25,626.95,627.85,624.55,627.85,225,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:30,627.85,627.85,618.35,622.35,300,169875
NSE:NIFTY2580725300PE,2025-07-31 09:18:35,622.35,629.95,622.35,629.95,225,166350
NSE:NIFTY2580725300PE,2025-07-31 09:18:40,629.95,629.95,625.25,625.25,675,166350
NSE:NIFTY2580725300PE,2025-07-31 09:18:45,625.25,625.25,625.25,625.25,0,166350
NSE:NIFTY2580725300PE,2025-07-31 09:18:50,623.6,627,623.6,626,600,166350
NSE:NIFTY2580725300PE,2025-07-31 09:18:55,623.4,625.8,622.05,625.8,150,166350
