symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580724900PE,2025-07-31 09:15:00,250,292.55,230,264.35,287400,1545375
NSE:NIFTY2580724900PE,2025-07-31 09:16:00,266.25,289.05,266.25,287.8,323250,1545375
NSE:NIFTY2580724900PE,2025-07-31 09:17:00,288.8,309.5,287.8,291.95,192075,1545375
NSE:NIFTY2580724900PE,2025-07-31 09:18:00,291.35,293,274.55,285.3,138750,1294800
NSE:NIFTY2580724900PE,2025-07-31 09:19:00,284.15,284.15,275.4,277.1,39975,1294800
NSE:NIFTY2580724900PE,2025-07-31 09:20:00,276.85,281.85,250.45,260.35,49425,1294800
NSE:NIFTY2580724900PE,2025-07-31 09:21:00,260,264,253.7,257.6,50250,1258650
NSE:NIFTY2580724900PE,2025-07-31 09:22:00,257.2,274.65,257.2,259.65,38925,1258650
NSE:NIFTY2580724900PE,2025-07-31 09:23:00,259.35,263,248.85,263,65625,1258650
NSE:NIFTY2580724900PE,2025-07-31 09:24:00,260.8,268,254.85,256.3,20250,1219275
NSE:NIFTY2580724900PE,2025-07-31 09:25:00,257.5,273.55,254.7,270.3,36750,1219275
NSE:NIFTY2580724900PE,2025-07-31 09:26:00,271.3,273,255.25,255.6,21600,1219275
NSE:NIFTY2580724900PE,2025-07-31 09:27:00,255,260.6,251.6,253.9,24975,1200450
NSE:NIFTY2580724900PE,2025-07-31 09:28:00,254.9,259.5,252.7,257.25,14775,1200450
NSE:NIFTY2580724900PE,2025-07-31 09:29:00,258.35,264.45,253.75,263.45,15075,1200450
NSE:NIFTY2580724900PE,2025-07-31 09:30:00,265,272,262.25,262.5,19425,1196625
NSE:NIFTY2580724900PE,2025-07-31 09:31:00,263.4,271.1,255,257.45,13200,1196625
NSE:NIFTY2580724900PE,2025-07-31 09:32:00,256.3,258.5,251.65,257.35,22575,1196625
NSE:NIFTY2580724900PE,2025-07-31 09:33:00,258.55,270,256.55,268.9,11475,1189200
NSE:NIFTY2580724900PE,2025-07-31 09:34:00,270.15,270.15,255.6,255.9,17475,1189200
NSE:NIFTY2580724900PE,2025-07-31 09:35:00,256.35,267.9,256.1,266.05,11550,1189200
NSE:NIFTY2580724900PE,2025-07-31 09:36:00,266.55,270.55,266.35,267.15,14100,1189575
NSE:NIFTY2580724900PE,2025-07-31 09:37:00,270,270.2,260.65,261.2,15825,1189575
NSE:NIFTY2580724900PE,2025-07-31 09:38:00,262.55,270,262.55,268.05,22275,1189575
NSE:NIFTY2580724900PE,2025-07-31 09:39:00,268.3,272,267,269.55,13725,1187175
NSE:NIFTY2580724900PE,2025-07-31 09:40:00,269.85,272.55,266.2,268.1,20400,1187175
NSE:NIFTY2580724900PE,2025-07-31 09:41:00,267.45,267.8,258,263.2,28800,1187175
NSE:NIFTY2580724900PE,2025-07-31 09:42:00,261.85,267.9,260,260.05,9525,1184250
NSE:NIFTY2580724900PE,2025-07-31 09:43:00,259.95,263.35,259.95,261.7,5400,1184250
NSE:NIFTY2580724900PE,2025-07-31 09:44:00,262.8,262.8,257.75,259.5,6900,1184250
NSE:NIFTY2580724900PE,2025-07-31 09:45:00,261,262.6,257.5,258.5,12975,1177875
NSE:NIFTY2580724900PE,2025-07-31 09:46:00,259.05,262.4,258.05,259.35,4050,1177875
