symbol,timestamp,open,high,low,close,volume,oi
NSE:NIFTY2580725050PE,2025-07-31 09:15:00,380,396.25,362.05,379.05,14475,103500
NSE:NIFTY2580725050PE,2025-07-31 09:16:00,380,404.6,380,404.6,4350,103500
NSE:NIFTY2580725050PE,2025-07-31 09:17:00,405,423.9,405,408.15,5100,103500
NSE:NIFTY2580725050PE,2025-07-31 09:18:00,402.9,405,391.4,405,18375,103500
NSE:NIFTY2580725050PE,2025-07-31 09:19:00,398.6,398.6,393.75,394.55,825,83400
NSE:NIFTY2580725050PE,2025-07-31 09:20:00,394.55,394.55,366.2,372.2,3375,83400
NSE:NIFTY2580725050PE,2025-07-31 09:21:00,373.6,373.6,372.5,372.5,150,83400
NSE:NIFTY2580725050PE,2025-07-31 09:22:00,369.2,386,368.45,368.45,2475,83175
NSE:NIFTY2580725050PE,2025-07-31 09:23:00,365,370.75,359.85,370.75,1350,83175
NSE:NIFTY2580725050PE,2025-07-31 09:24:00,368.1,375,368.1,369.3,375,82275
NSE:NIFTY2580725050PE,2025-07-31 09:25:00,382,382.1,377.75,377.75,375,82275
NSE:NIFTY2580725050PE,2025-07-31 09:26:00,381,381,368.8,368.8,150,82275
NSE:NIFTY2580725050PE,2025-07-31 09:27:00,363.65,363.65,360,360,225,82275
NSE:NIFTY2580725050PE,2025-07-31 09:28:00,364.3,366.45,364.3,366.45,375,82200
NSE:NIFTY2580725050PE,2025-07-31 09:29:00,366.75,373.25,365.4,373.25,525,82200
NSE:NIFTY2580725050PE,2025-07-31 09:30:00,382.3,382.3,376.75,377.25,675,81975
NSE:NIFTY2580725050PE,2025-07-31 09:31:00,375.05,375.05,365.4,365.4,900,81975
NSE:NIFTY2580725050PE,2025-07-31 09:32:00,367.5,367.5,363.35,363.35,675,81975
NSE:NIFTY2580725050PE,2025-07-31 09:33:00,368.3,368.95,368.3,368.95,150,81975
NSE:NIFTY2580725050PE,2025-07-31 09:34:00,368.95,368.95,368.95,368.95,0,81975
NSE:NIFTY2580725050PE,2025-07-31 09:35:00,368,379.35,368,379.35,4425,81975
NSE:NIFTY2580725050PE,2025-07-31 09:36:00,381.05,382.7,378,379.95,5925,88425
NSE:NIFTY2580725050PE,2025-07-31 09:37:00,374.5,374.5,372.5,372.5,1275,88425
NSE:NIFTY2580725050PE,2025-07-31 09:38:00,379.65,380,379.3,379.3,1200,88425
NSE:NIFTY2580725050PE,2025-07-31 09:39:00,384,384,384,384,150,88425
NSE:NIFTY2580725050PE,2025-07-31 09:40:00,385,385,378.55,378.55,975,91650
